tier,namespace,type,wpf_ctor_sig
1,System.Windows,ComponentResourceKey,public ComponentResourceKey()
1,System.Windows,Condition,"public Condition(System.Windows.Data.BindingBase binding, object conditionValue)"
1,System.Windows,Condition,"public Condition(System.Windows.DependencyProperty conditionProperty, object conditionValue)"
1,System.Windows,Condition,"public Condition(System.Windows.DependencyProperty conditionProperty, object conditionValue, string sourceName)"
1,System.Windows,ContentElement,public ContentElement()
1,System.Windows,DataObject,"public DataObject(string format, object data, bool autoConvert)"
1,System.Windows,DataObject,"public DataObject(System.Type format, object data)"
1,System.Windows,DataTemplateKey,public DataTemplateKey()
1,System.Windows,EventTrigger,public EventTrigger(System.Windows.RoutedEvent routedEvent)
1,System.Windows,FrameworkPropertyMetadata,"public FrameworkPropertyMetadata(object defaultValue, System.Windows.FrameworkPropertyMetadataOptions flags, System.Windows.PropertyChangedCallback propertyChangedCallback, System.Windows.CoerceValueCallback coerceValueCallback, bool isAnimationProhibited, System.Windows.Data.UpdateSourceTrigger defaultUpdateSourceTrigger)"
1,System.Windows,FrameworkPropertyMetadata,"public FrameworkPropertyMetadata(System.Windows.PropertyChangedCallback propertyChangedCallback, System.Windows.CoerceValueCallback coerceValueCallback)"
1,System.Windows,FreezableCollection<T>,public FreezableCollection(System.Collections.Generic.IEnumerable<T> collection)
1,System.Windows,FreezableCollection<T>,public FreezableCollection(int capacity)
1,System.Windows,PropertyMetadata,public PropertyMetadata(System.Windows.PropertyChangedCallback propertyChangedCallback)
1,System.Windows,Rect,"public Rect(System.Windows.Point point1, System.Windows.Point point2)"
1,System.Windows,Rect,"public Rect(System.Windows.Point point, System.Windows.Vector vector)"
1,System.Windows,RoutedPropertyChangedEventArgs<T>,"public RoutedPropertyChangedEventArgs(T oldValue, T newValue)"
1,System.Windows,Setter,"public Setter(System.Windows.DependencyProperty property, object value, string targetName)"
1,System.Windows,TemplateKey,protected TemplateKey(System.Windows.TemplateKey.TemplateType templateType)
1,System.Windows,TemplateKey,"protected TemplateKey(System.Windows.TemplateKey.TemplateType templateType, object dataType)"
1,System.Windows,TextDecoration,"public TextDecoration(System.Windows.TextDecorationLocation location, System.Windows.Media.Pen pen, double penOffset, System.Windows.TextDecorationUnit penOffsetUnit, System.Windows.TextDecorationUnit penThicknessUnit)"
1,System.Windows,TextDecorationCollection,public TextDecorationCollection(int capacity)
1,System.Windows,UIPropertyMetadata,public UIPropertyMetadata(System.Windows.PropertyChangedCallback propertyChangedCallback)
1,System.Windows,VisualStateManager,public VisualStateManager()
1,System.Windows.Controls,CalendarDateRange,public CalendarDateRange()
1,System.Windows.Controls,DataGridBeginningEditEventArgs,"public DataGridBeginningEditEventArgs(System.Windows.Controls.DataGridColumn column, System.Windows.Controls.DataGridRow row, System.Windows.RoutedEventArgs editingEventArgs)"
1,System.Windows.Controls,DataGridCellEditEndingEventArgs,"public DataGridCellEditEndingEventArgs(System.Windows.Controls.DataGridColumn column, System.Windows.Controls.DataGridRow row, System.Windows.FrameworkElement editingElement, System.Windows.Controls.DataGridEditAction editAction)"
1,System.Windows.Controls,DataGridPreparingCellForEditEventArgs,"public DataGridPreparingCellForEditEventArgs(System.Windows.Controls.DataGridColumn column, System.Windows.Controls.DataGridRow row, System.Windows.RoutedEventArgs editingEventArgs, System.Windows.FrameworkElement editingElement)"
1,System.Windows.Controls,DataGridSortingEventArgs,public DataGridSortingEventArgs(System.Windows.Controls.DataGridColumn column)
1,System.Windows.Controls,ItemsPanelTemplate,public ItemsPanelTemplate(System.Windows.FrameworkElementFactory root)
1,System.Windows.Controls,PrintDialogException,"protected PrintDialogException(System.Runtime.Serialization.SerializationInfo info, System.Runtime.Serialization.StreamingContext context)"
1,System.Windows.Controls,TextBlock,public TextBlock(System.Windows.Documents.Inline inline)
1,System.Windows.Controls,TextChangedEventArgs,"public TextChangedEventArgs(System.Windows.RoutedEvent id, System.Windows.Controls.UndoAction action)"
1,System.Windows.Controls,TextChangedEventArgs,"public TextChangedEventArgs(System.Windows.RoutedEvent id, System.Windows.Controls.UndoAction action, System.Collections.Generic.ICollection<System.Windows.Controls.TextChange> changes)"
1,System.Windows.Controls,ValidationError,"public ValidationError(System.Windows.Controls.ValidationRule ruleInError, object bindingInError)"
1,System.Windows.Controls,ValidationRule,"protected ValidationRule(System.Windows.Controls.ValidationStep validationStep, bool validatesOnTargetUpdated)"
2,System.Windows.Data,CompositeCollection,public CompositeCollection(int capacity)
2,System.Windows.Data,RelativeSource,public RelativeSource()
2,System.Windows.Data,RelativeSource,"public RelativeSource(System.Windows.Data.RelativeSourceMode mode, System.Type ancestorType, int ancestorLevel)"
2,System.Windows.Data,ValueUnavailableException,"protected ValueUnavailableException(System.Runtime.Serialization.SerializationInfo info, System.Runtime.Serialization.StreamingContext context)"
2,System.Windows.Documents,AnchoredBlock,"protected AnchoredBlock(System.Windows.Documents.Block block, System.Windows.Documents.TextPointer insertionPosition)"
2,System.Windows.Documents,BlockUIContainer,public BlockUIContainer(System.Windows.UIElement uiElement)
2,System.Windows.Documents,Bold,"public Bold(System.Windows.Documents.Inline childInline, System.Windows.Documents.TextPointer insertionPosition)"
2,System.Windows.Documents,Bold,"public Bold(System.Windows.Documents.TextPointer start, System.Windows.Documents.TextPointer end)"
2,System.Windows.Documents,Figure,"public Figure(System.Windows.Documents.Block childBlock, System.Windows.Documents.TextPointer insertionPosition)"
2,System.Windows.Documents,Floater,"public Floater(System.Windows.Documents.Block childBlock, System.Windows.Documents.TextPointer insertionPosition)"
2,System.Windows.Documents,Hyperlink,"public Hyperlink(System.Windows.Documents.Inline childInline, System.Windows.Documents.TextPointer insertionPosition)"
2,System.Windows.Documents,Hyperlink,"public Hyperlink(System.Windows.Documents.TextPointer start, System.Windows.Documents.TextPointer end)"
2,System.Windows.Documents,InlineUIContainer,public InlineUIContainer(System.Windows.UIElement childUIElement)
2,System.Windows.Documents,InlineUIContainer,"public InlineUIContainer(System.Windows.UIElement childUIElement, System.Windows.Documents.TextPointer insertionPosition)"
2,System.Windows.Documents,Italic,"public Italic(System.Windows.Documents.Inline childInline, System.Windows.Documents.TextPointer insertionPosition)"
2,System.Windows.Documents,Italic,"public Italic(System.Windows.Documents.TextPointer start, System.Windows.Documents.TextPointer end)"
2,System.Windows.Documents,LineBreak,public LineBreak(System.Windows.Documents.TextPointer insertionPosition)
2,System.Windows.Documents,List,public List(System.Windows.Documents.ListItem listItem)
