tier,namespace,type,member,wpf_sig
1,System.Windows,Application,Activated,public event System.EventHandler Activated
1,System.Windows,Application,Deactivated,public event System.EventHandler Deactivated
1,System.Windows,Application,DispatcherUnhandledException,public event System.Windows.Threading.DispatcherUnhandledExceptionEventHandler DispatcherUnhandledException
1,System.Windows,Application,FragmentNavigation,public event System.Windows.Navigation.FragmentNavigationEventHandler FragmentNavigation
1,System.Windows,Application,LoadCompleted,public event System.Windows.Navigation.LoadCompletedEventHandler LoadCompleted
1,System.Windows,Application,Navigated,public event System.Windows.Navigation.NavigatedEventHandler Navigated
1,System.Windows,Application,Navigating,public event System.Windows.Navigation.NavigatingCancelEventHandler Navigating
1,System.Windows,Application,NavigationFailed,public event System.Windows.Navigation.NavigationFailedEventHandler NavigationFailed
1,System.Windows,Application,NavigationProgress,public event System.Windows.Navigation.NavigationProgressEventHandler NavigationProgress
1,System.Windows,Application,NavigationStopped,public event System.Windows.Navigation.NavigationStoppedEventHandler NavigationStopped
1,System.Windows,ContentElement,DragEnter,public event System.Windows.DragEventHandler DragEnter
1,System.Windows,ContentElement,DragLeave,public event System.Windows.DragEventHandler DragLeave
1,System.Windows,ContentElement,DragOver,public event System.Windows.DragEventHandler DragOver
1,System.Windows,ContentElement,Drop,public event System.Windows.DragEventHandler Drop
1,System.Windows,ContentElement,FocusableChanged,public event System.Windows.DependencyPropertyChangedEventHandler FocusableChanged
1,System.Windows,ContentElement,GiveFeedback,public event System.Windows.GiveFeedbackEventHandler GiveFeedback
1,System.Windows,ContentElement,GotFocus,public event System.Windows.RoutedEventHandler GotFocus
1,System.Windows,ContentElement,GotKeyboardFocus,public event System.Windows.Input.KeyboardFocusChangedEventHandler GotKeyboardFocus
1,System.Windows,ContentElement,GotMouseCapture,public event System.Windows.Input.MouseEventHandler GotMouseCapture
1,System.Windows,ContentElement,GotStylusCapture,public event System.Windows.Input.StylusEventHandler GotStylusCapture
1,System.Windows,ContentElement,GotTouchCapture,public event System.EventHandler<System.Windows.Input.TouchEventArgs> GotTouchCapture
1,System.Windows,ContentElement,IsEnabledChanged,public event System.Windows.DependencyPropertyChangedEventHandler IsEnabledChanged
1,System.Windows,ContentElement,IsKeyboardFocusWithinChanged,public event System.Windows.DependencyPropertyChangedEventHandler IsKeyboardFocusWithinChanged
1,System.Windows,ContentElement,IsKeyboardFocusedChanged,public event System.Windows.DependencyPropertyChangedEventHandler IsKeyboardFocusedChanged
1,System.Windows,ContentElement,IsMouseCaptureWithinChanged,public event System.Windows.DependencyPropertyChangedEventHandler IsMouseCaptureWithinChanged
1,System.Windows,ContentElement,IsMouseCapturedChanged,public event System.Windows.DependencyPropertyChangedEventHandler IsMouseCapturedChanged
1,System.Windows,ContentElement,IsMouseDirectlyOverChanged,public event System.Windows.DependencyPropertyChangedEventHandler IsMouseDirectlyOverChanged
1,System.Windows,ContentElement,IsStylusCaptureWithinChanged,public event System.Windows.DependencyPropertyChangedEventHandler IsStylusCaptureWithinChanged
1,System.Windows,ContentElement,IsStylusCapturedChanged,public event System.Windows.DependencyPropertyChangedEventHandler IsStylusCapturedChanged
1,System.Windows,ContentElement,IsStylusDirectlyOverChanged,public event System.Windows.DependencyPropertyChangedEventHandler IsStylusDirectlyOverChanged
1,System.Windows,ContentElement,KeyDown,public event System.Windows.Input.KeyEventHandler KeyDown
1,System.Windows,ContentElement,KeyUp,public event System.Windows.Input.KeyEventHandler KeyUp
1,System.Windows,ContentElement,LostFocus,public event System.Windows.RoutedEventHandler LostFocus
1,System.Windows,ContentElement,LostKeyboardFocus,public event System.Windows.Input.KeyboardFocusChangedEventHandler LostKeyboardFocus
1,System.Windows,ContentElement,LostMouseCapture,public event System.Windows.Input.MouseEventHandler LostMouseCapture
1,System.Windows,ContentElement,LostStylusCapture,public event System.Windows.Input.StylusEventHandler LostStylusCapture
1,System.Windows,ContentElement,LostTouchCapture,public event System.EventHandler<System.Windows.Input.TouchEventArgs> LostTouchCapture
1,System.Windows,ContentElement,MouseDown,public event System.Windows.Input.MouseButtonEventHandler MouseDown
1,System.Windows,ContentElement,MouseEnter,public event System.Windows.Input.MouseEventHandler MouseEnter
1,System.Windows,ContentElement,MouseLeave,public event System.Windows.Input.MouseEventHandler MouseLeave
1,System.Windows,ContentElement,MouseLeftButtonDown,public event System.Windows.Input.MouseButtonEventHandler MouseLeftButtonDown
1,System.Windows,ContentElement,MouseLeftButtonUp,public event System.Windows.Input.MouseButtonEventHandler MouseLeftButtonUp
1,System.Windows,ContentElement,MouseMove,public event System.Windows.Input.MouseEventHandler MouseMove
1,System.Windows,ContentElement,MouseRightButtonDown,public event System.Windows.Input.MouseButtonEventHandler MouseRightButtonDown
1,System.Windows,ContentElement,MouseRightButtonUp,public event System.Windows.Input.MouseButtonEventHandler MouseRightButtonUp
1,System.Windows,ContentElement,MouseUp,public event System.Windows.Input.MouseButtonEventHandler MouseUp
1,System.Windows,ContentElement,MouseWheel,public event System.Windows.Input.MouseWheelEventHandler MouseWheel
1,System.Windows,ContentElement,PreviewDragEnter,public event System.Windows.DragEventHandler PreviewDragEnter
1,System.Windows,ContentElement,PreviewDragLeave,public event System.Windows.DragEventHandler PreviewDragLeave
1,System.Windows,ContentElement,PreviewDragOver,public event System.Windows.DragEventHandler PreviewDragOver
1,System.Windows,ContentElement,PreviewDrop,public event System.Windows.DragEventHandler PreviewDrop
1,System.Windows,ContentElement,PreviewGiveFeedback,public event System.Windows.GiveFeedbackEventHandler PreviewGiveFeedback
1,System.Windows,ContentElement,PreviewGotKeyboardFocus,public event System.Windows.Input.KeyboardFocusChangedEventHandler PreviewGotKeyboardFocus
1,System.Windows,ContentElement,PreviewKeyDown,public event System.Windows.Input.KeyEventHandler PreviewKeyDown
1,System.Windows,ContentElement,PreviewKeyUp,public event System.Windows.Input.KeyEventHandler PreviewKeyUp
1,System.Windows,ContentElement,PreviewLostKeyboardFocus,public event System.Windows.Input.KeyboardFocusChangedEventHandler PreviewLostKeyboardFocus
1,System.Windows,ContentElement,PreviewMouseDown,public event System.Windows.Input.MouseButtonEventHandler PreviewMouseDown
1,System.Windows,ContentElement,PreviewMouseLeftButtonDown,public event System.Windows.Input.MouseButtonEventHandler PreviewMouseLeftButtonDown
1,System.Windows,ContentElement,PreviewMouseLeftButtonUp,public event System.Windows.Input.MouseButtonEventHandler PreviewMouseLeftButtonUp
1,System.Windows,ContentElement,PreviewMouseMove,public event System.Windows.Input.MouseEventHandler PreviewMouseMove
1,System.Windows,ContentElement,PreviewMouseRightButtonDown,public event System.Windows.Input.MouseButtonEventHandler PreviewMouseRightButtonDown
