tier,namespace,type,member,wpf_sig
1,System.Windows,ContentElement,AllowDropProperty,public static readonly System.Windows.DependencyProperty AllowDropProperty
1,System.Windows,ContentElement,AreAnyTouchesCapturedProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesCapturedProperty
1,System.Windows,ContentElement,AreAnyTouchesCapturedWithinProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesCapturedWithinProperty
1,System.Windows,ContentElement,AreAnyTouchesDirectlyOverProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesDirectlyOverProperty
1,System.Windows,ContentElement,AreAnyTouchesOverProperty,public static readonly System.Windows.DependencyProperty AreAnyTouchesOverProperty
1,System.Windows,ContentElement,DragEnterEvent,public static readonly System.Windows.RoutedEvent DragEnterEvent
1,System.Windows,ContentElement,DragLeaveEvent,public static readonly System.Windows.RoutedEvent DragLeaveEvent
1,System.Windows,ContentElement,DragOverEvent,public static readonly System.Windows.RoutedEvent DragOverEvent
1,System.Windows,ContentElement,DropEvent,public static readonly System.Windows.RoutedEvent DropEvent
1,System.Windows,ContentElement,FocusableProperty,public static readonly System.Windows.DependencyProperty FocusableProperty
1,System.Windows,ContentElement,GiveFeedbackEvent,public static readonly System.Windows.RoutedEvent GiveFeedbackEvent
1,System.Windows,ContentElement,GotFocusEvent,public static readonly System.Windows.RoutedEvent GotFocusEvent
1,System.Windows,ContentElement,GotKeyboardFocusEvent,public static readonly System.Windows.RoutedEvent GotKeyboardFocusEvent
1,System.Windows,ContentElement,GotMouseCaptureEvent,public static readonly System.Windows.RoutedEvent GotMouseCaptureEvent
1,System.Windows,ContentElement,GotStylusCaptureEvent,public static readonly System.Windows.RoutedEvent GotStylusCaptureEvent
1,System.Windows,ContentElement,GotTouchCaptureEvent,public static readonly System.Windows.RoutedEvent GotTouchCaptureEvent
1,System.Windows,ContentElement,IsEnabledProperty,public static readonly System.Windows.DependencyProperty IsEnabledProperty
1,System.Windows,ContentElement,IsFocusedProperty,public static readonly System.Windows.DependencyProperty IsFocusedProperty
