tier,namespace,type,member,wpf_sig
1,System.Windows,Application,FindResource,public object FindResource(object resourceKey)
1,System.Windows,Application,GetContentStream,public static System.Windows.Resources.StreamResourceInfo GetContentStream(System.Uri uriContent)
1,System.Windows,Application,GetCookie,public static string GetCookie(System.Uri uri)
1,System.Windows,Application,GetRemoteStream,public static System.Windows.Resources.StreamResourceInfo GetRemoteStream(System.Uri uriRemote)
1,System.Windows,Application,GetResourceStream,public static System.Windows.Resources.StreamResourceInfo GetResourceStream(System.Uri uriResource)
1,System.Windows,Application,LoadComponent,"public static void LoadComponent(object component, System.Uri resourceLocator)"
1,System.Windows,Application,LoadComponent,public static object LoadComponent(System.Uri resourceLocator)
1,System.Windows,Application,OnActivated,protected virtual void OnActivated(System.EventArgs e)
1,System.Windows,Application,OnDeactivated,protected virtual void OnDeactivated(System.EventArgs e)
1,System.Windows,Application,OnFragmentNavigation,protected virtual void OnFragmentNavigation(System.Windows.Navigation.FragmentNavigationEventArgs e)
1,System.Windows,Application,OnLoadCompleted,protected virtual void OnLoadCompleted(System.Windows.Navigation.NavigationEventArgs e)
1,System.Windows,Application,OnNavigated,protected virtual void OnNavigated(System.Windows.Navigation.NavigationEventArgs e)
1,System.Windows,Application,OnNavigating,protected virtual void OnNavigating(System.Windows.Navigation.NavigatingCancelEventArgs e)
1,System.Windows,Application,OnNavigationFailed,protected virtual void OnNavigationFailed(System.Windows.Navigation.NavigationFailedEventArgs e)
1,System.Windows,Application,OnNavigationProgress,protected virtual void OnNavigationProgress(System.Windows.Navigation.NavigationProgressEventArgs e)
1,System.Windows,Application,OnNavigationStopped,protected virtual void OnNavigationStopped(System.Windows.Navigation.NavigationEventArgs e)
1,System.Windows,Application,SetCookie,"public static void SetCookie(System.Uri uri, string value)"
1,System.Windows,Application,TryFindResource,public object TryFindResource(object resourceKey)
1,System.Windows,Clipboard,ContainsAudio,public static bool ContainsAudio()
1,System.Windows,Clipboard,ContainsData,public static bool ContainsData(string format)
1,System.Windows,Clipboard,ContainsText,public static bool ContainsText(System.Windows.TextDataFormat format)
1,System.Windows,Clipboard,Flush,public static void Flush()
1,System.Windows,Clipboard,GetAudioStream,public static System.IO.Stream? GetAudioStream()
1,System.Windows,Clipboard,GetData,public static object? GetData(string format)
1,System.Windows,Clipboard,GetText,public static string GetText(System.Windows.TextDataFormat format)
1,System.Windows,Clipboard,IsCurrent,public static bool IsCurrent(System.Windows.IDataObject data)
1,System.Windows,Clipboard,SetAudio,public static void SetAudio(byte[] audioBytes)
1,System.Windows,Clipboard,SetAudio,public static void SetAudio(System.IO.Stream audioStream)
1,System.Windows,Clipboard,SetData,"public static void SetData(string format, object data)"
1,System.Windows,Clipboard,SetDataAsJson,"public static void SetDataAsJson<T>(string format, T data)"
1,System.Windows,Clipboard,SetImage,public static void SetImage(System.Windows.Media.Imaging.BitmapSource image)
1,System.Windows,Clipboard,SetText,"public static void SetText(string text, System.Windows.TextDataFormat format)"
1,System.Windows,Clipboard,TryGetData,"[CLSCompliant(false)] public static bool TryGetData<T>(string format, System.Func<System.Reflection.Metadata.TypeName, System.Type?> resolver, out T data)"
1,System.Windows,Clipboard,TryGetData,"public static bool TryGetData<T>(string format, out T data)"
1,System.Windows,Condition,ReceiveMarkupExtension,"public static void ReceiveMarkupExtension(object targetObject, System.Windows.Markup.XamlSetMarkupExtensionEventArgs eventArgs)"
1,System.Windows,Condition,ReceiveTypeConverter,"public static void ReceiveTypeConverter(object targetObject, System.Windows.Markup.XamlSetTypeConverterEventArgs eventArgs)"
1,System.Windows,ContentElement,AddHandler,"public void AddHandler(System.Windows.RoutedEvent routedEvent, System.Delegate handler)"
1,System.Windows,ContentElement,AddHandler,"public void AddHandler(System.Windows.RoutedEvent routedEvent, System.Delegate handler, bool handledEventsToo)"
1,System.Windows,ContentElement,AddToEventRoute,"public void AddToEventRoute(System.Windows.EventRoute route, System.Windows.RoutedEventArgs e)"
1,System.Windows,ContentElement,ApplyAnimationClock,"public void ApplyAnimationClock(System.Windows.DependencyProperty dp, System.Windows.Media.Animation.AnimationClock clock)"
1,System.Windows,ContentElement,ApplyAnimationClock,"public void ApplyAnimationClock(System.Windows.DependencyProperty dp, System.Windows.Media.Animation.AnimationClock clock, System.Windows.Media.Animation.HandoffBehavior handoffBehavior)"
1,System.Windows,ContentElement,BeginAnimation,"public void BeginAnimation(System.Windows.DependencyProperty dp, System.Windows.Media.Animation.AnimationTimeline animation)"
1,System.Windows,ContentElement,BeginAnimation,"public void BeginAnimation(System.Windows.DependencyProperty dp, System.Windows.Media.Animation.AnimationTimeline animation, System.Windows.Media.Animation.HandoffBehavior handoffBehavior)"
1,System.Windows,ContentElement,CaptureMouse,public bool CaptureMouse()
1,System.Windows,ContentElement,CaptureStylus,public bool CaptureStylus()
1,System.Windows,ContentElement,CaptureTouch,public bool CaptureTouch(System.Windows.Input.TouchDevice touchDevice)
1,System.Windows,ContentElement,Focus,public bool Focus()
1,System.Windows,ContentElement,GetAnimationBaseValue,public object GetAnimationBaseValue(System.Windows.DependencyProperty dp)
1,System.Windows,ContentElement,GetUIParentCore,protected internal virtual System.Windows.DependencyObject GetUIParentCore()
1,System.Windows,ContentElement,MoveFocus,public virtual bool MoveFocus(System.Windows.Input.TraversalRequest request)
