tier,namespace,type,member,wpf_sig
1,System.Windows,Application,Properties,public System.Collections.IDictionary Properties { get; }
1,System.Windows,Application,ResourceAssembly,public static System.Reflection.Assembly ResourceAssembly { get; set; }
1,System.Windows,Application,ThemeMode,public System.Windows.ThemeMode ThemeMode { get; set; }
1,System.Windows,Application,Windows,public System.Windows.WindowCollection Windows { get; }
1,System.Windows,ComponentResourceKey,Assembly,public override System.Reflection.Assembly Assembly { get; }
1,System.Windows,Condition,Binding,public System.Windows.Data.BindingBase Binding { get; set; }
1,System.Windows,ContentElement,AllowDrop,public bool AllowDrop { get; set; }
1,System.Windows,ContentElement,AreAnyTouchesCaptured,public bool AreAnyTouchesCaptured { get; }
1,System.Windows,ContentElement,AreAnyTouchesCapturedWithin,public bool AreAnyTouchesCapturedWithin { get; }
1,System.Windows,ContentElement,AreAnyTouchesDirectlyOver,public bool AreAnyTouchesDirectlyOver { get; }
1,System.Windows,ContentElement,AreAnyTouchesOver,public bool AreAnyTouchesOver { get; }
1,System.Windows,ContentElement,CommandBindings,public System.Windows.Input.CommandBindingCollection CommandBindings { get; }
1,System.Windows,ContentElement,Focusable,public bool Focusable { get; set; }
1,System.Windows,ContentElement,HasAnimatedProperties,public bool HasAnimatedProperties { get; }
1,System.Windows,ContentElement,InputBindings,public System.Windows.Input.InputBindingCollection InputBindings { get; }
1,System.Windows,ContentElement,IsEnabled,public bool IsEnabled { get; set; }
1,System.Windows,ContentElement,IsEnabledCore,protected virtual bool IsEnabledCore { get; }
1,System.Windows,ContentElement,IsFocused,public bool IsFocused { get; }
1,System.Windows,ContentElement,IsInputMethodEnabled,public bool IsInputMethodEnabled { get; }
1,System.Windows,ContentElement,IsKeyboardFocusWithin,public bool IsKeyboardFocusWithin { get; }
1,System.Windows,ContentElement,IsKeyboardFocused,public bool IsKeyboardFocused { get; }
1,System.Windows,ContentElement,IsMouseCaptureWithin,public bool IsMouseCaptureWithin { get; }
1,System.Windows,ContentElement,IsMouseCaptured,public bool IsMouseCaptured { get; }
1,System.Windows,ContentElement,IsMouseDirectlyOver,public bool IsMouseDirectlyOver { get; }
1,System.Windows,ContentElement,IsMouseOver,public bool IsMouseOver { get; }
1,System.Windows,ContentElement,IsStylusCaptureWithin,public bool IsStylusCaptureWithin { get; }
1,System.Windows,ContentElement,IsStylusCaptured,public bool IsStylusCaptured { get; }
1,System.Windows,ContentElement,IsStylusDirectlyOver,public bool IsStylusDirectlyOver { get; }
1,System.Windows,ContentElement,IsStylusOver,public bool IsStylusOver { get; }
1,System.Windows,ContentElement,TouchesCaptured,public System.Collections.Generic.IEnumerable<System.Windows.Input.TouchDevice> TouchesCaptured { get; }
1,System.Windows,ContentElement,TouchesCapturedWithin,public System.Collections.Generic.IEnumerable<System.Windows.Input.TouchDevice> TouchesCapturedWithin { get; }
1,System.Windows,ContentElement,TouchesDirectlyOver,public System.Collections.Generic.IEnumerable<System.Windows.Input.TouchDevice> TouchesDirectlyOver { get; }
1,System.Windows,ContentElement,TouchesOver,public System.Collections.Generic.IEnumerable<System.Windows.Input.TouchDevice> TouchesOver { get; }
1,System.Windows,DataTemplate,DataTemplateKey,public object DataTemplateKey { get; }
1,System.Windows,DependencyObject,DependencyObjectType,public System.Windows.DependencyObjectType DependencyObjectType { get; }
1,System.Windows,DependencyObject,IsSealed,public bool IsSealed { get; }
1,System.Windows,EventTrigger,SourceName,public string SourceName { get; set; }
1,System.Windows,FontWeights,ExtraBlack,public static System.Windows.FontWeight ExtraBlack { get; }
1,System.Windows,FontWeights,UltraBlack,public static System.Windows.FontWeight UltraBlack { get; }
1,System.Windows,FrameworkContentElement,BindingGroup,public System.Windows.Data.BindingGroup BindingGroup { get; set; }
1,System.Windows,FrameworkContentElement,ContextMenu,public System.Windows.Controls.ContextMenu ContextMenu { get; set; }
1,System.Windows,FrameworkContentElement,Cursor,public System.Windows.Input.Cursor Cursor { get; set; }
1,System.Windows,FrameworkContentElement,DataContext,public object DataContext { get; set; }
1,System.Windows,FrameworkContentElement,DefaultStyleKey,protected internal object DefaultStyleKey { get; set; }
1,System.Windows,FrameworkContentElement,FocusVisualStyle,public System.Windows.Style FocusVisualStyle { get; set; }
1,System.Windows,FrameworkContentElement,ForceCursor,public bool ForceCursor { get; set; }
1,System.Windows,FrameworkContentElement,InputScope,public System.Windows.Input.InputScope InputScope { get; set; }
1,System.Windows,FrameworkContentElement,IsInitialized,public bool IsInitialized { get; }
1,System.Windows,FrameworkContentElement,IsLoaded,public bool IsLoaded { get; }
1,System.Windows,FrameworkContentElement,Language,public System.Windows.Markup.XmlLanguage Language { get; set; }
1,System.Windows,FrameworkContentElement,LogicalChildren,protected internal virtual System.Collections.IEnumerator LogicalChildren { get; }
1,System.Windows,FrameworkContentElement,Name,public string Name { get; set; }
1,System.Windows,FrameworkContentElement,OverridesDefaultStyle,public bool OverridesDefaultStyle { get; set; }
1,System.Windows,FrameworkContentElement,Parent,public System.Windows.DependencyObject Parent { get; }
1,System.Windows,FrameworkContentElement,Resources,public System.Windows.ResourceDictionary Resources { get; set; }
1,System.Windows,FrameworkContentElement,Style,public System.Windows.Style Style { get; set; }
1,System.Windows,FrameworkContentElement,Tag,public object Tag { get; set; }
1,System.Windows,FrameworkContentElement,TemplatedParent,public System.Windows.DependencyObject TemplatedParent { get; }
1,System.Windows,FrameworkContentElement,ToolTip,public object ToolTip { get; set; }
1,System.Windows,FrameworkElement,BindingGroup,public System.Windows.Data.BindingGroup BindingGroup { get; set; }
1,System.Windows,FrameworkElement,DefaultStyleKey,protected internal object DefaultStyleKey { get; set; }
1,System.Windows,FrameworkElement,FlowDirection,public System.Windows.FlowDirection FlowDirection { get; set; }
1,System.Windows,FrameworkElement,ForceCursor,public bool ForceCursor { get; set; }
1,System.Windows,FrameworkElement,InheritanceBehavior,protected internal System.Windows.InheritanceBehavior InheritanceBehavior { get; set; }
1,System.Windows,FrameworkElement,InputScope,public System.Windows.Input.InputScope InputScope { get; set; }
1,System.Windows,FrameworkElement,IsInitialized,public bool IsInitialized { get; }
1,System.Windows,FrameworkElement,IsLoaded,public bool IsLoaded { get; }
1,System.Windows,FrameworkElement,Language,public System.Windows.Markup.XmlLanguage Language { get; set; }
1,System.Windows,FrameworkElement,LayoutTransform,public System.Windows.Media.Transform LayoutTransform { get; set; }
1,System.Windows,FrameworkElement,LogicalChildren,protected internal virtual System.Collections.IEnumerator LogicalChildren { get; }
