tier,namespace,type,kind,wpf_base,ctors,props,methods,events,fields,enum_values,source
1,System.Windows,AttachedPropertyBrowsableAttribute,class,System.Attribute,1,0,1,0,0,0,agent确认
1,System.Windows,AttachedPropertyBrowsableForChildrenAttribute,class,System.Windows.AttachedPropertyBrowsableAttribute,1,1,3,0,0,0,agent确认
1,System.Windows,AttachedPropertyBrowsableForTypeAttribute,class,System.Windows.AttachedPropertyBrowsableAttribute,1,2,3,0,0,0,agent确认
1,System.Windows,AttachedPropertyBrowsableWhenAttributePresentAttribute,class,System.Windows.AttachedPropertyBrowsableAttribute,1,1,3,0,0,0,agent确认
1,System.Windows,AutoResizedEventArgs,class,System.EventArgs,1,1,0,0,0,0,agent确认
1,System.Windows,AutoResizedEventHandler,delegate,,,,,,,,agent确认
1,System.Windows,BaseCompatibilityPreferences,class,,0,4,0,0,0,3,agent确认
1,System.Windows,ColumnSpaceDistribution,enum,,0,0,0,0,0,3,agent确认
1,System.Windows,ConditionCollection,class,System.Collections.ObjectModel.Collection<System.Windows.Condition>,1,1,4,0,0,0,agent确认
1,System.Windows,ContentOperations,class,,0,0,2,0,0,0,agent确认
1,System.Windows,CoreCompatibilityPreferences,class,,0,2,0,0,0,0,agent确认
1,System.Windows,CultureInfoIetfLanguageTagConverter,class,System.ComponentModel.TypeConverter,1,0,4,0,0,0,agent确认
1,System.Windows,DataFormat,class,,1,2,0,0,0,0,agent确认
1,System.Windows,DataObjectCopyingEventArgs,class,System.Windows.DataObjectEventArgs,1,1,1,0,0,0,agent确认
1,System.Windows,DataObjectCopyingEventHandler,delegate,,,,,,,,agent确认
1,System.Windows,DataObjectEventArgs,class,System.Windows.RoutedEventArgs,1,2,1,0,0,0,agent确认
1,System.Windows,DataObjectExtensions,class,,0,0,4,0,0,0,agent确认
1,System.Windows,DataObjectPastingEventArgs,class,System.Windows.DataObjectEventArgs,1,3,1,0,0,0,agent确认
1,System.Windows,DataObjectPastingEventHandler,delegate,,,,,,,,agent确认
1,System.Windows,DataObjectSettingDataEventArgs,class,System.Windows.DataObjectEventArgs,1,2,1,0,0,0,agent确认
